MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Electrical,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold
3.044522437723423,rl,4.189654742026425,9.26926943950547,ir1,inside,Others,Others,2.2172392775108407,1.791759469228055,7.604396348796338,7.60688453121963,gable,vinylsd,vinylsd,5.616771097666572,gd,pconc,gd,av,unf,0.0,7.40184157874383,7.40184157874383,fusea,7.413970290190444,0.06420849186757892,1.3862943611198906,0.0,1.3862943611198906,0.6931471805599453,gd,1.0986122886681098,gd,attchd,7.60489448081162,rfn,1.6094379124341003,6.172121132885685,5.293304824724492,4.394449154672439,2.4849066497880004,7.60489448081162
4.110873864173311,rl,4.219507705176107,9.067047202149707,reg,inside,collgcr,2story,2.0794415416798357,1.791759469228055,7.599401333415815,7.600902459542082,gable,vinylsd,vinylsd,0.0,gd,pconc,gd,no,glq,6.478509642208569,5.645446897643238,6.836259277277067,mix,7.562161631225652,1.0986122886681098,1.3862943611198906,1.0986122886681098,1.791759469228055,0.6931471805599453,gd,0.6931471805599453,ta,attchd,7.598399329323964,unf,1.0986122886681098,6.726422677526461,5.0238805208462765,4.9344739331306915,2.0794415416798357,7.605392364814935
4.795790545596741,rl,4.1588830833596715,8.980675603671708,ir1,inside,Others,1story,2.302585092994046,1.791759469228055,7.60339933974067,7.606387389772652,gable,metalsd,metalsd,5.159055299214529,gd,pconc,Others,gd,glq,6.688354713946762,6.709304340258298,7.400620577371135,fusea,7.400009517162692,0.739518070832232,1.3862943611198906,0.0,1.0986122886681098,1.0986122886681098,ex,0.6931471805599453,gd,attchd,7.573858684421736,fin,1.3862943611198906,5.848214461503177,0.0,5.135798437050262,1.3862943611198906,7.60489448081162
4.110873864173311,Others,4.301926968380723,8.866863661202087,reg,inside,somerst,2story,2.0794415416798357,1.791759469228055,7.599401333415815,7.60339933974067,gable,vinylsd,vinylsd,5.121220073700255,gd,pconc,gd,no,glq,6.61472560020376,5.780743515792329,7.012449705601039,fusea,7.5745584842024805,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.5001930910958958,1.0986122886681098,gd,0.6931471805599453,ta,attchd,7.601901959875166,fin,1.0986122886681098,6.3907780485747505,4.733858621591995,5.480638923341991,1.791759469228055,7.60489448081162
4.2626798770413155,rm,3.8918202981106265,8.735525185733225,reg,inside,Others,2story,1.791759469228055,2.1972245773362196,7.557994958530806,7.605392364814935,gable,metalsd,metalsd,2.5981920817245805,ta,brktil,ta,mn,unf,0.0,6.855408798609928,6.863803391452954,fusep,7.326465613840322,0.0,1.0986122886681098,0.6931471805599453,1.791759469228055,0.6931471805599453,ta,0.0,gd,detchd,7.548813766258062,unf,1.0986122886681098,6.677068867723726,3.4339872044851463,0.0,1.791759469228055,7.60489448081162
4.795790545596741,rm,3.4339872044851463,8.414495793177895,reg,Others,Others,1story,1.9459101490553132,1.791759469228055,7.596535868171652,7.599907336667553,hip,vinylsd,vinylsd,5.293304824724492,ta,pconc,ex,no,glq,6.7661917146603505,5.799092654460526,7.081708586105575,fusea,7.10085190894405,1.0986122886681098,1.3862943611198906,0.0,1.0986122886681098,0.6931471805599453,ta,0.0,gd,attchd,7.459338895220296,rfn,1.3862943611198906,5.994996535152264,0.0,4.836281906951478,1.6094379124341003,7.605392364814935
3.044522437723423,rl,4.204692619390966,9.595466709088816,Others,inside,collgcr,1story,2.0794415416798357,1.791759469228055,7.594749959101665,7.596980349325892,gable,vinylsd,vinylsd,0.0,ta,pconc,gd,mn,glq,6.8658910748834385,6.246106765481563,7.29776828253138,fusep,7.293017679772782,0.6931471805599453,1.1590972168570668,0.0,1.6094379124341003,0.6931471805599453,ta,0.0,gd,attchd,7.550182091001226,fin,1.0986122886681098,4.989723689300761,0.0,4.477336814478207,2.5649493574615367,7.606423243670725
4.110873864173311,rl,4.382026634673881,9.198976041897133,reg,inside,Others,2story,2.0794415416798357,1.791759469228055,7.59890045687141,7.599401333415815,gable,metalsd,metalsd,5.517452896464707,gd,pconc,gd,no,glq,6.6293632534374485,5.736572297479192,6.967909201801884,fusea,7.577633832602728,1.0986122886681098,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.6931471805599453,gd,0.6931471805599453,ta,attchd,7.597897950521784,fin,1.3862943611198906,6.10407658775416,5.081404364984463,4.59511985013459,1.9459101490553132,7.606387389772652
4.795790545596741,rl,4.007333185232471,8.978912601074276,ir1,corner,Others,1story,2.1972245773362196,1.791759469228055,7.597396320212795,7.599901959208498,gable,Others,Others,0.0,gd,pconc,gd,no,glq,6.61338421837956,6.7464121285733745,7.373374309910049,mix,7.475339236566737,0.6931471805599453,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,gd,0.0,ta,attchd,7.59890045687141,rfn,1.0986122886681098,6.5346911889833885,4.86246502790872,4.02535169073515,2.302585092994046,7.605890001053122
4.110873864173311,Others,4.276666119016055,9.053803514155955,reg,inside,somerst,2story,2.0794415416798357,1.791759469228055,7.5964911725340025,7.600925382186425,gable,vinylsd,vinylsd,0.0,ta,pconc,gd,no,glq,6.71901315438526,4.273620011547769,6.825460036255307,mix,7.52456122628536,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,0.6931471805599453,gd,1.0986122886681098,ta,attchd,7.551249078709492,rfn,1.3862943611198906,6.05105443192366,5.170483995038151,4.762173934797756,2.0794415416798357,7.605890001053122
